"listing_value","tweets_Name","tweets_Date","tweets_Retweets","tweets_Likes","tweets_Text","tweets_Replies","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 21, 2011","58","13","#Wisconsin appeals judge's hold on collective bargaining law http://on.cnn.com/fEbtYk","","","","","1"
"","CNN Breaking News","Mar 21, 2011","85","7","#Stocks rally for 3rd day as fears about Japan nuclear plants ease and with news of wireless merger; Dow jumps 178 http://on.cnn.com/emi3ow","","","","","1"
"","CNN Breaking News","Mar 21, 2011","125","9","#Obama on #Libya: Int'l community ""can't stand by with empty words"" in face of imminent humanitarian catastrophe http://on.cnn.com/hrv89a","","","","","1"
"","CNN Breaking News","Mar 21, 2011","206","16","President #Obama said ""it is U.S. policy"" that Libyan leader Moammar #Gadhafi ""has to go"" #Libya http://on.cnn.com/hrv89a","","","","","1"
"","CNN Breaking News","Mar 21, 2011","81","9","CNN Poll: Most support no fly zone in #Libya but not ground troops. http://on.cnn.com/fqx27M","","","","","1"
"","CNN Breaking News","Mar 21, 2011","633","39","More than 21,000 dead or missing in #Japan #quake, #tsunami aftermath, police say. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","50","10","General: 70 to 80 sorties flown over #Libya Monday. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","65","5","#Libya strikes not designed to kill #Gadhafi, general says. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","53","10","Protecting #Libya rebels not part of coalition mission, general says. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","40","5","#Libya coalition command role undecided, U.S. officials say. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","90","13","Report: U.S. Navy moving carrier from #Japan base. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","73","13","World Bank sees limited economic slowdown from #Japan quake. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","98","10","Report: Rolling blackouts to resume in Tokyo area. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","47","11","Role of U.S. military aircraft on #Libya ""plateaus"", spokesman says. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","177","16","#Japan nuclear crisis not resolved, IAEA chief says. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","78","16","#Japan victims prepared but overwhelmed, expert says. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","481","15","USGS: 5.8 quake rocks #Afghanistan. http://on.cnn.com/ifzOJD","","","","","1"
"","CNN Breaking News","Mar 21, 2011","211","16","Oil prices rise after coalition forces launch attacks on targets in #Libya. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","102","13","UK says #Libya attack aborted when civilians near target. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","203","16","Smoke rising from No. 2 reactor at the Fukushima Daiichi nuclear plant, Japanese agency says. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","72","6","#Gadhafi supporters confront UN secretary-general in Cairo. http://on.cnn.com/g4OwMc","","","","","1"
"","CNN Breaking News","Mar 21, 2011","92","12","Hope dwindles as death toll mounts after Japan #quake http://on.cnn.com/fB0jL6","","","","","1"
"","CNN Breaking News","Mar 21, 2011","256","15","High #radiation levels reported in #Japan town's tap water. http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","191","15","Gray smoke spews from No. 3 reactor at stricken Japanese nuclear plant http://on.cnn.com/gxDoTZ","","","","","1"
"","CNN Breaking News","Mar 21, 2011","183","18","Smoke emanating from No. 3 reactor at the Fukushima Daiichi nuclear power plant http://on.cnn.com/hZ9x45","","","","","1"
"","CNN Breaking News","Mar 21, 2011","434","37","Radiation in #Japan food 'more serious' than thought, World Health Organization says http://on.cnn.com/gUFop1","1","","","","1"
"","CNN Breaking News","Mar 21, 2011","167","12","Allied forces strike #Gadhafi compound; #Libyan leader's whereabouts unknown http://on.cnn.com/dLlk4f","","","","","1"
"","CNN Breaking News","Mar 21, 2011","178","33","First water, now concrete used to avoid nuclear crisis after Japan #quake http://on.cnn.com/gxDoTZ","","","","","1"
"","CNN Breaking News","Mar 21, 2011","215","17","Coalition military official confirms #Libyan leader Gadhafi’s compound targeted due to its military capabilities; Gadhafi not target.","","","","","1"
"","CNN Breaking News","Mar 20, 2011","201","20","Building in compound of #Libya leader Gadhafi heavily damaged, possibly by cruise missiles, CNN's Nic Robertson reports.","","","","","1"
"","CNN Breaking News","Mar 20, 2011","100","16","U.S. Defense chief Gates: #Libya operation has strong start, warns against widening beyond U.N. resolution. http://on.cnn.com/giRKif","","","","","1"
"","CNN Breaking News","Mar 20, 2011","85","6","Witnesses: One person slain in clashes between anti-government protesters and security forces in #Syria. http://on.cnn.com/fUisqx","","","","","1"
"","CNN Breaking News","Mar 20, 2011","64","7","U.S. Vice Adm. Bill Gortney calls coalition airstrikes ""very effective” in degrading #Libya’s air defenses. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","114","13","#Libya’s air defense systems have had major damage from allied airstrikes in past two days,"" U.S. official says. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","307","17","U.S. has fired 124 Tomahawk missiles at #Libya's air defense sites, Africa Command spokesman says. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","227","15","#Libya's military is calling for immediate cease-fire, army spokesman says. http://on.cnn.com/htpuhQ","","","","","1"
"","CNN Breaking News","Mar 20, 2011","1.7K","57","AT&T has agreed to acquire T-Mobile USA from Deutsche Telekom for $39 billion, the companies say. http://on.cnn.com/h3aEaA","","","","","1"
"","CNN Breaking News","Mar 20, 2011","127","11","Voters in Egypt OK proposed constitutional amendments paving way for elections in June, judicial panel says. http://on.cnn.com/hOZhrz","","","","","1"
"","CNN Breaking News","Mar 20, 2011","105","11","Anti-aircraft guns heard in Tripoli, #Libya, though attack by allied forces not apparent, Nic Robertson reports. http://on.cnn.com/fxa9Uu","","","","","1"
