"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Sep 3, 2015","Recall issued for Johnsonville Grillers after small pieces of metal found in the meat.","48","338","176","https://pbs.twimg.com/media/COAvOE9UsAATjY0?format=jpg&name=small","","","1"
"1","CNN Breaking News","Sep 3, 2015","Grand jury indicts Virginia police officer on first-degree murder charge in death of William Chapman.","48","384","293","","","","1"
"1","Virginia cop Stephen Rankin indicted in teen's death - CNN","","Grand jury indicts Virginia police officer on first-degree murder charge in death of William Chapman.","48","384","293","","","","1"
"1","A grand jury has indicted Portsmouth, Virginia, police Officer Stephen Rankin on a first-degree murder charge related to the shooting of an unarmed teen in a Walmart parking lot, according to public...","","Grand jury indicts Virginia police officer on first-degree murder charge in death of William Chapman.","48","384","293","","","","1"
"1","cnn.com","","Grand jury indicts Virginia police officer on first-degree murder charge in death of William Chapman.","48","384","293","","","","1"
"1","CNN Breaking News","Sep 3, 2015","via","23","166","152","","","","1"
"1","CNN Breaking News","Sep 3, 2015","Kentucky clerk to remain in custody after refusing to grant authority to others to issue same-sex marriage licenses.","167","368","597","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","Kim Davis, the county clerk, to remain in Kentucky jail - CNNPolitics","","Kentucky clerk to remain in custody after refusing to grant authority to others to issue same-sex marriage licenses.","167","368","597","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","Kim Davis, the Rowan County, Kentucky, clerk, won't let her deputies issue same-sex marriage licenses in her place. A judge rules she's to remain in jail.","","Kentucky clerk to remain in custody after refusing to grant authority to others to issue same-sex marriage licenses.","167","368","597","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","cnn.com","","Kentucky clerk to remain in custody after refusing to grant authority to others to issue same-sex marriage licenses.","167","368","597","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","CNN Breaking News","Sep 3, 2015","Correction: Dow was UP 23 points for the day.","21","66","142","","","","1"
"1","CNN Breaking News","Sep 3, 2015","Guatemala's congress accepts President Otto Pérez Molina's resignation amid corruption allegations.","7","180","129","","","","1"
"1","CNN Breaking News","Sep 3, 2015","Dutch air force sergeant likely went to Syria to join ISIS, defense minister says.","30","201","116","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","http://t.co/FSpbluwsYj?amp=1","1"
"1","Dutch defense ministry: Airman likely left to join ISIS - CNN","","Dutch air force sergeant likely went to Syria to join ISIS, defense minister says.","30","201","116","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","http://t.co/FSpbluwsYj?amp=1","1"
"1","A sergeant in the Netherlands Royal Air Force recently left for Syria and ""probably connected with ISIS,"" the Dutch Defense Ministry said Thursday, citing evidence officials have uncovered.","","Dutch air force sergeant likely went to Syria to join ISIS, defense minister says.","30","201","116","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","http://t.co/FSpbluwsYj?amp=1","1"
"1","cnn.com","","Dutch air force sergeant likely went to Syria to join ISIS, defense minister says.","30","201","116","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591376282021888/O1ouH-T3?format=jpg&name=small","http://t.co/FSpbluwsYj?amp=1","1"
"1","CNN Breaking News","Sep 3, 2015","Donald Trump signed GOP loyalty pledge, he says after meeting with RNC leader. Watch","69","169","261","https://pbs.twimg.com/media/CN_8jkxWoAAui0h?format=png&name=small","","","1"
"1","CNN Breaking News","Sep 3, 2015","Prosecutor to seek death penalty against defendant in Charleston church shooting.","36","407","486","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","http://t.co/PKd2B9fgnW?amp=1","1"
"1","Death penalty sought in Charleston church shooting - CNN","","Prosecutor to seek death penalty against defendant in Charleston church shooting.","36","407","486","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","http://t.co/PKd2B9fgnW?amp=1","1"
"1","A prosecutor in Charleston, South Carolina, will seek the death penalty against Dylann Roof in a shooting at Emanuel African Methodist Episcopal Church.","","Prosecutor to seek death penalty against defendant in Charleston church shooting.","36","407","486","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","http://t.co/PKd2B9fgnW?amp=1","1"
"1","cnn.com","","Prosecutor to seek death penalty against defendant in Charleston church shooting.","36","407","486","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591525955665920/PpNHUW4i?format=jpg&name=small","http://t.co/PKd2B9fgnW?amp=1","1"
"1","CNN Breaking News","Sep 3, 2015","Judge finds Kentucky clerk in contempt, remands her to custody for refusing to issue same-sex marriage licenses.","177","832","1.1K","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","Kim Davis, the county clerk, to remain in Kentucky jail - CNNPolitics","","Judge finds Kentucky clerk in contempt, remands her to custody for refusing to issue same-sex marriage licenses.","177","832","1.1K","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
"1","Kim Davis, the Rowan County, Kentucky, clerk, won't let her deputies issue same-sex marriage licenses in her place. A judge rules she's to remain in jail.","","Judge finds Kentucky clerk in contempt, remands her to custody for refusing to issue same-sex marriage licenses.","177","832","1.1K","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591377338937345/Ms3l4_dy?format=jpg&name=small","http://t.co/q1wefW9vSw?amp=1","1"
