"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_Text","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Nov 8, 2019","62","169","332","https://pbs.twimg.com/media/EI44hkGW4AAPx-v?format=jpg&name=small","Two associates of Rudy Giuliani asked the former Ukrainian President to investigate the Bidens and the 2016 election, the Wall Street Journal reports https://cnn.it/2PZSFCj","","","1"
"1","CNN Breaking News","Nov 8, 2019","66","331","642","https://pbs.twimg.com/media/EI4pl44XkAUxTFb?format=jpg&name=small","A US company sold Chinese-made surveillance equipment to the US government while falsely claiming the products were made in the United States -- a scheme that directly undermined national security, federal prosecutors say https://cnn.it/2qEiOvy","","","1"
"1","CNN Breaking News","Nov 8, 2019","105","156","468","https://pbs.twimg.com/media/EI4fAI6WwAIcw9O?format=jpg&name=small","Facebook says it is removing content that mentions any potential name of the whistleblower whose complaint sparked an impeachment probe into President Trump https://cnn.it/2Cqiwvh","","","1"
"1","CNN Breaking News","Nov 8, 2019","109","122","320","https://pbs.twimg.com/media/EI4DTsJWkAYXLoT?format=jpg&name=small","Former national security adviser John Bolton has significant insights about the Ukraine inquiry that haven't been disclosed, his lawyer says https://cnn.it/2rjtFvl","","","1"
"1","CNN Breaking News","Nov 8, 2019","231","502","1.2K","https://pbs.twimg.com/media/EI3ywxLWkAApmuE?format=jpg&name=small","White House officials testify that acting chief of staff Mulvaney helped arrange the quid pro quo effort with Ukraine
https://cnn.it/32qdZmR","","","1"
"1","CNN Breaking News","Nov 8, 2019","118","671","833","https://pbs.twimg.com/media/EI3r5Y1X0AAkiWV?format=jpg&name=small","Vitamin E, in combination with THC, could be behind the vaping illness that's sickened more than 2,000 people and killed dozens, the CDC says https://cnn.it/2pW1VMZ","","","1"
"1","CNN Breaking News","Nov 8, 2019","60","121","374","https://pbs.twimg.com/media/EI3lW9_WsAMny-q?format=jpg&name=small","Impeachment investigators release transcripts for Fiona Hill and Alexander Vindman https://cnn.it/36NyhKs","","","1"
"1","CNN Breaking News","Nov 8, 2019","574","3.7K","3.8K","https://pbs.twimg.com/media/EI29hNhXYAI9hnh?format=jpg&name=small","A Buffalo Wild Wings employee died after being exposed to a cleaning agent used on the kitchen floor of one of the chain's Boston-area restaurants, fire officials say https://cnn.it/34LLy4D","","","1"
"1","CNN Breaking News","Nov 8, 2019","59","231","277","https://pbs.twimg.com/media/EI0mVNEWwAI7xTZ?format=jpg&name=small","At least five people have been killed and 120 others injured after 5.8-magnitude earthquake struck northwestern Iran, Iranian state-owned Press TV reported https://cnn.it/36FSrWJ","","","1"
"1","CNN Breaking News","Nov 8, 2019","123","179","771","https://pbs.twimg.com/media/EI0PW27XsAEnIib?format=jpg&name=small","A congressional watchdog group is reviewing whether the Trump administration violated the law when it froze aid to Ukraine, a decision currently at the center of the impeachment inquiry https://cnn.it/34JNryL","","","1"
"1","CNN Breaking News","Nov 8, 2019","124","82","189","https://pbs.twimg.com/media/EI0HOIcWsAA5a-i?format=jpg&name=small","Former Attorney General Jeff Sessions announces he's running for his old Senate seat https://cnn.it/2PWCVQv","","","1"
"1","CNN Breaking News","Nov 7, 2019","182","210","480","https://pbs.twimg.com/media/EIziQsIXUAM7vYI?format=jpg&name=small","Michael Bloomberg, the former NYC mayor, is expected to file for the Alabama presidential primary, despite saying in March that he had decided against running in 2020 https://cnn.it/2rlvMih","","","1"
"1","CNN Breaking News","Nov 7, 2019","75","223","563","https://pbs.twimg.com/media/EIy8KEfWoAEmrs9?format=jpg&name=small","House impeachment investigators released the transcript of a State Department official who said he was told to lie low after raising complaints about Rudy Giuliani https://cnn.it/2PZYEqD","","","1"
"1","CNN Breaking News","Nov 7, 2019","255","580","2.1K","https://pbs.twimg.com/media/EIyuPUdW4AIEc1-?format=jpg&name=small","A judge says President Trump must pay $2 million to resolve a civil lawsuit alleging ""persistent"" violations of charities law, some involving his campaign https://cnn.it/32o5jgL","","","1"
"1","CNN Breaking News","Nov 7, 2019","45","70","167","https://pbs.twimg.com/media/EIyVekAW4AEhjIY?format=jpg&name=small","The House Intelligence Committee did not issue a subpoena to former national security adviser John Bolton to avoid further court battle, an official says https://cnn.it/36KSiRN","","","1"
"1","CNN Breaking News","Nov 7, 2019","112","169","735","https://pbs.twimg.com/media/EIxsoAZXYAIjzvq?format=jpg&name=small","An aide to Vice President Mike Pence who was on Trump's July 25 call with Ukraine has arrived on Capitol Hill to testify in the impeachment inquiry. Follow live updates: https://cnn.it/2pPMXZ0","","","1"
"1","CNN Breaking News","Nov 6, 2019","134","117","233","https://pbs.twimg.com/media/EIufLPYXYAA5uRp?format=jpg&name=small","Former Attorney General Jeff Sessions plans to run for his old Senate seat from Alabama, a choice that could muddy the Republican primary https://cnn.it/36zZYXf","","","1"
"1","CNN Breaking News","Nov 6, 2019","318","122","274","https://pbs.twimg.com/media/EIt1rH6XUAMkDUb?format=jpg&name=small","Kentucky Gov. Matt Bevin is requesting a recanvass of Tuesday's election after losing to his Democratic opponent by fewer than 5,000 votes https://cnn.it/32oX7gv","","","1"
"1","CNN Breaking News","Nov 6, 2019","25","126","225","https://pbs.twimg.com/media/EItuE-wXsAAwn3I?format=jpg&name=small","The Dutch military police say that the passengers and crew involved in a ""suspicious situation"" at Amsterdam Airport Schiphol are safely off the plane. Follow live updates: https://cnn.it/2PUCwxO","","","1"
"1","CNN Breaking News","Nov 6, 2019","29","143","189","https://pbs.twimg.com/media/EItn1MaXsAAon_N?format=jpg&name=small","The Dutch Royal Military Police is investigating a ""suspicious situation"" at Amsterdam's Schiphol Airport https://cnn.it/2rkbDt3","","","1"
"1","CNN Breaking News","Nov 6, 2019","62","98","360","https://pbs.twimg.com/media/EItjpKJXYAErvLc?format=jpg&name=small","House impeachment investigators release a transcript of closed-door testimony from the top US diplomat in Ukraine, Bill Taylor. Follow live updates:
https://cnn.it/2Nogemw","","","1"
"1","CNN Breaking News","Nov 6, 2019","46","109","500","https://pbs.twimg.com/media/EItcw8XX0AIiP8p?format=jpg&name=small","Two murder suspects who escaped from a Northern California jail by cutting a hole in a ceiling over the weekend have been captured, authorities say
https://cnn.it/2PQeVOK","","","1"
"1","CNN Breaking News","Nov 6, 2019","111","75","307","https://pbs.twimg.com/media/EItRi1wXUAECDVb?format=jpg&name=small","Biden, Warren and Sanders lead the race for the Democratic primary, according to a new national poll from Monmouth University https://cnn.it/34Aq4HK","","","1"
"1","CNN Breaking News","Nov 6, 2019","69","155","670","https://pbs.twimg.com/media/EIshkybXUAA7fov?format=jpg&name=small","Impeachment witness David Hale, a high-ranking state department official, has arrived on Capitol Hill for his deposition. Follow live updates: https://cnn.it/2NnJWYO","","","1"
"1","CNN Breaking News","Nov 5, 2019","60","209","262","https://pbs.twimg.com/media/EInF0sTX0AE74ka?format=jpg&name=small","At least nine members of a Mormon community, including several children, were killed in an attack near the US-Mexico border, a family member tells CNN https://cnn.it/2WI1KB5","","","1"
"1","CNN Breaking News","Nov 5, 2019","73","168","487","https://pbs.twimg.com/media/EIk-UUNWsAEXrtD?format=jpg&name=small","Singapore bans the riding of e-scooters on sidewalks in the city-state after a growing number of accidents, including at least one fatality https://cnn.it/2C9xIwu","","","1"
"1","CNN Breaking News","Nov 4, 2019","42","85","200","https://pbs.twimg.com/media/EIkOVTCXkAEJhwZ?format=jpg&name=small","A Philadelphia man was arrested and charged in five fatal shootings, three in 2011 and two in 2017, officials say https://cnn.it/2JOy93G","","","1"
"1","CNN Breaking News","Nov 4, 2019","76","295","890","https://pbs.twimg.com/media/EIkB_4iXYAMbJDG?format=jpg&name=small","More than 400 Oklahoma inmates were released from prison today in the largest mass commutation of sentences in US history
https://cnn.it/2JM1Xh5","","","1"
"1","CNN Breaking News","Nov 4, 2019","270","433","866","https://pbs.twimg.com/media/EIjuQjZXsAAEVJO?format=jpg&name=small","The US tells the UN that it is beginning the year-long process of withdrawing from the Paris climate accord, as President Trump promised in 2017 https://cnn.it/32aAoVe","","","1"
"1","CNN Breaking News","Nov 4, 2019","64","300","508","https://pbs.twimg.com/media/EIjnkP3XkAIr_o8?format=jpg&name=small","Federal authorities arrest a 27-year-old man who allegedly planned to bomb a synagogue in Colorado over the weekend https://cnn.it/2PMb3P1","","","1"
"1","CNN Breaking News","Nov 4, 2019","31","95","288","https://pbs.twimg.com/media/EIjlovlWsAEjADb?format=jpg&name=small","Veteran British lawmaker Lindsay Hoyle has become the new Speaker of the House of Commons, replacing John Bercow in the role https://cnn.it/2NgR2OX","","","1"
"1","CNN Breaking News","Nov 4, 2019","62","160","223","https://pbs.twimg.com/media/EIjRyH3X0AYrVAf?format=jpg&name=small","The number of US adolescents admitted to emergency rooms for injuries related to sexual abuse more than doubled between 2010 and 2016, a new study finds https://cnn.it/2WFMGni","","","1"
"1","CNN Breaking News","Nov 4, 2019","38","82","165","https://pbs.twimg.com/media/EIjGIXBXsAAv_fM?format=jpg&name=small","New York Police Department Commissioner James O'Neill is expected to resign his post atop the country's largest police force, two law enforcement sources say https://cnn.it/34uUwmE","","","1"
"1","CNN Breaking News","Nov 4, 2019","54","106","378","https://pbs.twimg.com/media/EIi8hY9XYAEw7aG?format=jpg&name=small","House committees release the first transcripts from their closed-door impeachment depositions https://cnn.it/2WMKrib","","","1"
"1","CNN Breaking News","Nov 4, 2019","190","232","1.1K","https://pbs.twimg.com/media/EIit24-XkAAIls6?format=jpg&name=small","Writer E. Jean Carroll sues Trump for defamation, saying the President lied in response to her accusation that he assaulted her in a dressing room in the 1990s https://cnn.it/2JQ9iwf","","","1"
"1","CNN Breaking News","Nov 4, 2019","129","218","1K","https://pbs.twimg.com/media/EIiOs5uXUAQYYGM?format=jpg&name=small","Two of the White House officials who refuse to testify in the impeachment inquiry today have been subpoenaed. Follow live updates: https://cnn.it/2CcfwSU","","","1"
"1","CNN Breaking News","Nov 3, 2019","102","155","266","https://pbs.twimg.com/media/EIe-zRYXkAciW7D?format=jpg&name=small","Two men who were awaiting trial on unrelated murder charges escaped from a jail in Northern California, the Monterey County Sheriff's Office said https://cnn.it/2oJS8t1","","","1"
"1","CNN Breaking News","Nov 3, 2019","273","360","456","https://pbs.twimg.com/media/EIerWReWsAEY0lz?format=jpg&name=small","McDonald's CEO is out after ""a recent consensual relationship with an employee,"" the company says https://cnn.it/2WDz2Bf","","","1"
