"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","May 31, 2013","NWS: Tornado warning now extends to downtown Oklahoma City.","27","323","25","","","","1"
"","CNN Breaking News","May 31, 2013","FBI confirms ""very low concentrations"" of ricin on letters sent to Obama and Bloomberg.","16","96","18","","","","1"
"","CNN Breaking News","May 31, 2013","National Weather Service has declared a tornado emergency western Oklahoma City.","135","1.2K","116","","","","1"
"","CNN Breaking News","May 31, 2013","NWS: Tornado near El Reno, Oklahoma, moving east at 25 mph","19","242","20","","","","1"
"","CNN Breaking News","May 31, 2013","Weather service: ""Particularly dangerous situation"" developing over Oklahoma.","40","275","31","","","","1"
"","CNN Breaking News","May 31, 2013","Those firefighters were injured in a 5-alarm fire in Houston.","14","98","18","","","","1"
"","CNN Breaking News","May 31, 2013","4 firefighters die from injuries battling 5-alarm blaze at hotel and restaurant.","56","222","21","","","","1"
"","CNN Breaking News","May 31, 2013","Large asteroid zips past Earth, and scientists are over the moon.","44","369","82","","","","1"
"","CNN Breaking News","May 31, 2013","8 arrested after brawl at kindergarten graduation.","605","1.2K","185","","","","1"
"","CNN Breaking News","May 31, 2013","Report: Turkish court orders pause in development project that helped spark Istanbul protests.","43","447","35","","","","1"
"","CNN Breaking News","May 31, 2013","LUNCH BREAK: Seems like there's always something crazy going on at your fave fast food chains: 10 fast food fails","31","126","39","","","","1"
"","CNN Breaking News","May 31, 2013","Soldier's family to world: Keep calm, don't seek revenge","19","115","29","","","","1"
"","CNN Breaking News","May 31, 2013","Suspect in UK soldier's slaying in London discharged from hospital, taken into custody.","8","44","8","","","","1"
"","CNN Breaking News","May 31, 2013","Latest person arrested in UK soldier's slaying accused of supplying illegal firearms, police say.","7","55","9","","","","1"
"","CNN Breaking News","May 31, 2013","Police in Turkish city of Istanbul fire tear gas at protesters.","155","4.1K","240","","","","1"
"","CNN Breaking News","May 31, 2013","A huge asteroid will get close to Earth today, bringing its own moon along for the ride.","237","2.8K","399","","","","1"
"","CNN Breaking News","May 31, 2013","Yanira Maldonado, the Arizona woman held in a Mexican prison on marijuana charges, has been released.","36","324","88","","","","1"
"","CNN Breaking News","May 31, 2013","Final 5 words at spelling bee: knaidel, tokonoma, cyanophycean, kaumographer, haupia.","195","508","148","","","","1"
"","CNN Breaking News","May 31, 2013","Mahankali correctly spelled ""knaidel"": a small mass of leavened dough, a dumpling.","43","132","34","","","","1"
"","CNN Breaking News","May 31, 2013","Arvind Mahankali, of Bayside Hills, NY, wins 2013 National Spelling Bee.","50","248","59","","","","1"
"","CNN Breaking News","May 31, 2013","FBI looking for letter to CIA similar to others that contained ricin.","15","77","7","","","","1"
"","CNN Breaking News","May 30, 2013","Syrian TV: 3 Westerners, including American woman and British national, killed fighting alongside rebels.","21","157","18","","","","1"
"","CNN Breaking News","May 30, 2013","Injuries, damage from storm reported in Oden, Arkansas, sheriff says.","7","76","9","","","","1"
"","CNN Breaking News","May 30, 2013","says take cover now.","54","418","24","","","","1"
