"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2015","Fire crews battling massive New Year's Eve blaze at Dubai's Address hotel","58","726","579","https://pbs.twimg.com/media/CXk2YE0W8AIx6Mn?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","Massive fire at Dubai's Address hotel broke out on 20th floor of luxury high-rise, authorities said.","42","646","338","","","","1"
"1","CNN Breaking News","Dec 31, 2015","Watch","49","1.1K","448","https://pbs.twimg.com/media/CXku5M4WYAM3rD0?format=png&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","Ben Carson's campaign manager and his communications director have resigned.","93","549","666","https://pbs.twimg.com/media/CXkluU7WAAA9WRM?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","More on alleged Rochester-area NYE plot: 25-year-old charged with trying to provide material support to ISIS.","20","346","239","","","","1"
"1","Feds: Captured man was planning ISIS attack in New York - CNNPolitics","","More on alleged Rochester-area NYE plot: 25-year-old charged with trying to provide material support to ISIS.","20","346","239","","","","1"
"1","DOJ officials announced they had thwarted a Rochester man's plans to kill New Year's Eve participants in the name of ISIS at upstate New York bar and restaurant","","More on alleged Rochester-area NYE plot: 25-year-old charged with trying to provide material support to ISIS.","20","346","239","","","","1"
"1","cnn.com","","More on alleged Rochester-area NYE plot: 25-year-old charged with trying to provide material support to ISIS.","20","346","239","","","","1"
"1","CNN Breaking News","Dec 31, 2015","N.Y. man arrested, accused of planning to attack Rochester-area bar for ISIS on New Year's Eve, feds say.","84","931","681","https://pbs.twimg.com/media/CXkdOkHWQAACzWZ?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","Mother of ""affluenza"" teen charged with hindering apprehension of a felon; bail set at $1M.","81","190","459","https://pbs.twimg.com/media/CXkYMJ1WEAEq_jY?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","After arrest, TCU says QB Trevone Boykin will not play in Saturday's Alamo Bowl.","35","248","253","https://pbs.twimg.com/media/CXkKYy0WYAAYOdN?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","Obama to take executive action on expanding gun background checks, sources say.","98","431","903","https://pbs.twimg.com/media/CXkHcNiWkAA5vrk?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","""I believe they wanted to use us as human shields,"" displaced Ramadi resident says of ISIS.","23","149","169","https://pbs.twimg.com/media/CXjoSkUU0AIoWcy?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","6 detained for questioning in connection with alleged New Year's attack plot in Brussels, authorities say.","7","149","208","","","","1"
"1","CNN Breaking News","Dec 31, 2015","Bangladesh sentences 2 men to die for 2013 murder of a secular blogger. 5 other secular writers have been killed.","11","131","152","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://t.co/F3PYeGVypm?amp=1","1"
"1","Death sentences for Bangladeshi blogger murder - CNN","","Bangladesh sentences 2 men to die for 2013 murder of a secular blogger. 5 other secular writers have been killed.","11","131","152","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://t.co/F3PYeGVypm?amp=1","1"
"1","Two men have been sentenced to death for their role in the 2013 murder of Ahmed Rajib Haider, a secular blogger from Bangladesh.","","Bangladesh sentences 2 men to die for 2013 murder of a secular blogger. 5 other secular writers have been killed.","11","131","152","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://t.co/F3PYeGVypm?amp=1","1"
"1","cnn.com","","Bangladesh sentences 2 men to die for 2013 murder of a secular blogger. 5 other secular writers have been killed.","11","131","152","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591302202253313/XE3Mg2Rd?format=jpg&name=small","https://t.co/F3PYeGVypm?amp=1","1"
"1","CNN Breaking News","Dec 31, 2015","China says it will build an aircraft carrier as it seeks to expand its military clout.","36","133","131","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://t.co/qpPg3yL1Q8?amp=1","1"
"1","China says it's building new homegrown aircraft carrier - CNN","","China says it will build an aircraft carrier as it seeks to expand its military clout.","36","133","131","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://t.co/qpPg3yL1Q8?amp=1","1"
"1","China said Thursday that it's building a homegrown aircraft carrier as it seeks to expand its military clout.","","China says it will build an aircraft carrier as it seeks to expand its military clout.","36","133","131","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://t.co/qpPg3yL1Q8?amp=1","1"
"1","cnn.com","","China says it will build an aircraft carrier as it seeks to expand its military clout.","36","133","131","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://pbs.twimg.com/card_img/1335252129569796096/CLfdjD5q?format=jpg&name=small","https://t.co/qpPg3yL1Q8?amp=1","1"
"1","CNN Breaking News","Dec 31, 2015","Belgian police arrest 10th person in connection with Paris terror attacks.","34","257","448","https://pbs.twimg.com/media/CXi0bn8WEAATcp2?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2015","Mother of “affluenza” teen has returned to the United States from Mexico.","30","86","153","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://t.co/8szY5co0EI?amp=1","1"
"1","'Affluenza' teen's mother back in U.S. - CNN","","Mother of “affluenza” teen has returned to the United States from Mexico.","30","86","153","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://t.co/8szY5co0EI?amp=1","1"
"1","Tonya Couch, the mother of ""affluenza"" teen Ethan Couch is back in the United States and has been charged in Texas with hindering the apprehension of a felon.","","Mother of “affluenza” teen has returned to the United States from Mexico.","30","86","153","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://t.co/8szY5co0EI?amp=1","1"
"1","cnn.com","","Mother of “affluenza” teen has returned to the United States from Mexico.","30","86","153","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591301304668161/Lkz2Qd0o?format=jpg&name=small","https://t.co/8szY5co0EI?amp=1","1"
"1","CNN Breaking News","Dec 31, 2015","Barge drifting out of control in North Sea; BP orders partial evacuation from its Valhall oil field.","15","211","146","https://pbs.twimg.com/card_img/1333880174522273796/BAxYKWrP?format=jpg&name=small","https://pbs.twimg.com/card_img/1333880174522273796/BAxYKWrP?format=jpg&name=small","https://t.co/slN1D3PMJP?amp=1","1"
